SK_ID_CURR,TARGET
101368,0.29
101374,0.35
101380,0.3
101383,0.28
101398,0.32
101399,0.45
101401,0.54
101412,0.45
101426,0.36
101427,0.47
101428,0.33
101429,0.45
101434,0.33
101440,0.3
101448,0.35
101449,0.24
101465,0.33
101467,0.4
101472,0.26
101478,0.54
101497,0.39
101504,0.45
101547,0.34
101548,0.41
101555,0.53
101570,0.35
101572,0.34
101578,0.24
101580,0.53
101588,0.41
101602,0.29
101610,0.3
101614,0.34
101616,0.39
101643,0.32
101644,0.37
101649,0.38
101650,0.35
101665,0.36
101667,0.3
101669,0.29
101674,0.37
101675,0.29
101678,0.4
101682,0.32
101686,0.4
101697,0.42
101700,0.41
101711,0.33
101714,0.28
101715,0.39
101728,0.37
101732,0.37
101757,0.39
101758,0.28
101759,0.45
101762,0.3
101764,0.26
101780,0.44
101784,0.31
101789,0.31
101816,0.42
101819,0.36
101827,0.29
101863,0.43
101867,0.35
101870,0.25
101873,0.39
101878,0.33
101879,0.48
101880,0.32
101887,0.24
101897,0.43
101901,0.28
101903,0.44
101920,0.41
101921,0.3
101922,0.32
101961,0.39
101962,0.34
101971,0.33
101976,0.38
102002,0.39
102005,0.35
102007,0.51
102017,0.24
102019,0.48
102029,0.35
102051,0.49
102052,0.35
102054,0.23
102062,0.36
102067,0.43
102068,0.37
102070,0.35
102090,0.37
102092,0.34
102099,0.38
102100,0.36
102112,0.33
102113,0.3
102122,0.49
102123,0.49
102125,0.4
102126,0.41
102146,0.34
102147,0.48
102151,0.35
102158,0.39
102159,0.37
102162,0.42
102165,0.3
102166,0.37
102174,0.28
102193,0.34
102198,0.35
102205,0.38
102206,0.36
102218,0.33
102221,0.4
102230,0.32
102238,0.37
102248,0.34
102252,0.45
102259,0.32
102262,0.46
102273,0.38
102286,0.45
102293,0.39
102294,0.24
102296,0.35
102298,0.38
102303,0.34
102309,0.37
102315,0.39
102340,0.39
102342,0.28
102344,0.4
102346,0.32
102347,0.41
102374,0.41
102380,0.36
102387,0.26
102393,0.42
102403,0.32
102413,0.35
102414,0.31
102415,0.32
102416,0.41
102439,0.39
102441,0.32
102443,0.24
102444,0.51
102445,0.3
102448,0.34
102449,0.44
102450,0.36
102456,0.33
102458,0.39
102459,0.31
102465,0.36
102470,0.5
102471,0.34
102475,0.32
102476,0.35
102506,0.36
102509,0.4
102519,0.39
102522,0.26
102545,0.33
102549,0.22
102562,0.26
102563,0.25
102568,0.28
102582,0.36
102592,0.36
102597,0.42
102605,0.32
102614,0.4
102617,0.31
102634,0.42
102652,0.27
102655,0.25
102671,0.34
102694,0.46
102701,0.25
102703,0.3
102704,0.34
102713,0.33
102720,0.41
102731,0.27
102733,0.21
102749,0.4
102755,0.38
102763,0.39
102770,0.34
102772,0.27
102799,0.39
102838,0.36
102854,0.35
102862,0.39
102863,0.36
102867,0.33
102868,0.32
102878,0.41
102887,0.36
102898,0.38
102904,0.34
102912,0.34
102919,0.38
102927,0.37
102932,0.33
102933,0.36
102935,0.38
102958,0.4
102969,0.44
102971,0.33
102975,0.33
102979,0.37
102982,0.34
102987,0.49
102989,0.3
102995,0.38
102996,0.37
103000,0.35
103001,0.32
103004,0.31
103010,0.35
103025,0.31
103029,0.32
103046,0.29
103056,0.28
103062,0.32
103078,0.31
103083,0.21
103092,0.38
103096,0.29
103097,0.53
103102,0.35
103112,0.31
103132,0.31
103144,0.28
103145,0.41
103146,0.26
103147,0.32
103158,0.35
103171,0.33
103173,0.28
103184,0.36
103195,0.39
103196,0.36
103206,0.34
103230,0.46
103231,0.43
103232,0.36
103239,0.34
103240,0.32
103243,0.38
103252,0.52
103258,0.31
103259,0.45
103279,0.31
103280,0.3
103286,0.35
103287,0.39
103290,0.36
103298,0.32
103315,0.41
103319,0.39
103334,0.26
103336,0.41
103345,0.33
103368,0.39
103371,0.35
103377,0.31
103398,0.34
103404,0.28
103408,0.41
103410,0.42
103418,0.39
103420,0.46
103432,0.37
103433,0.36
103436,0.37
103440,0.35
103453,0.35
103459,0.34
103460,0.41
103461,0.27
103462,0.27
103473,0.41
103474,0.3
103475,0.4
103478,0.34
103480,0.4
103484,0.28
103494,0.32
103513,0.33
103515,0.41
103516,0.46
103525,0.34
103541,0.43
103544,0.35
103562,0.37
103570,0.54
103572,0.38
103574,0.37
103575,0.3
103591,0.41
103594,0.33
103609,0.32
103613,0.34
103614,0.34
103615,0.35
103624,0.23
103625,0.4
103628,0.49
103629,0.36
103647,0.37
103648,0.43
103651,0.4
103658,0.36
103668,0.37
103669,0.24
103676,0.42
103682,0.47
103683,0.4
103689,0.37
103725,0.33
103733,0.49
103744,0.33
103762,0.27
103771,0.47
103773,0.26
103783,0.32
103784,0.4
103808,0.36
103812,0.34
103813,0.28
103814,0.37
103818,0.44
103824,0.26
103828,0.31
103830,0.55
103840,0.27
103842,0.34
103847,0.41
103848,0.43
103851,0.34
103854,0.39
103857,0.33
103861,0.3
103862,0.37
103865,0.36
103870,0.27
103876,0.42
103891,0.48
103908,0.28
103914,0.42
103918,0.28
103940,0.19
103963,0.38
103966,0.34
103971,0.32
103980,0.36
103984,0.4
103985,0.27
103998,0.46
104019,0.34
104026,0.36
104035,0.35
104044,0.35
104045,0.3
104047,0.57
104051,0.45
104058,0.4
104063,0.34
104066,0.4
104087,0.29
104089,0.33
104095,0.31
104098,0.37
104104,0.29
104110,0.46
104120,0.49
104122,0.28
104131,0.37
104132,0.4
104135,0.36
104136,0.34
104149,0.4
104150,0.43
104156,0.49
104165,0.36
104175,0.23
104179,0.35
104184,0.49
104206,0.33
104216,0.49
104230,0.36
104257,0.43
104272,0.28
104273,0.34
104278,0.28
104294,0.41
104295,0.27
104297,0.32
104298,0.26
104308,0.39
104318,0.26
104319,0.4
104320,0.44
104327,0.31
104334,0.19
104344,0.31
104350,0.37
104351,0.34
104354,0.29
104369,0.41
104376,0.27
104381,0.34
104384,0.35
104391,0.4
104394,0.32
104398,0.43
104402,0.23
104408,0.51
104409,0.34
104410,0.44
104412,0.39
104417,0.44
104424,0.42
104426,0.35
104435,0.37
104445,0.35
104458,0.38
104460,0.36
104466,0.33
104472,0.39
104473,0.3
104479,0.34
104480,0.25
104482,0.45
104499,0.37
104501,0.35
104502,0.32
104506,0.36
104510,0.28
104512,0.39
104520,0.44
104528,0.3
104529,0.31
104541,0.29
104578,0.38
104584,0.33
104588,0.33
104602,0.51
104610,0.33
104611,0.32
104618,0.46
104620,0.38
104622,0.31
104624,0.35
104625,0.39
104634,0.3
104639,0.28
104646,0.33
104647,0.22
104652,0.36
104670,0.34
104677,0.3
104685,0.45
104691,0.3
104696,0.36
104699,0.34
104712,0.38
104714,0.38
104717,0.35
104718,0.29
104740,0.32
104741,0.36
104743,0.33
104744,0.39
104747,0.42
104767,0.36
104772,0.41
104776,0.41
104779,0.4
104814,0.34
104815,0.33
104830,0.32
104831,0.39
104833,0.34
104839,0.31
104840,0.27
104860,0.38
104861,0.38
104866,0.36
104870,0.3
104877,0.28
104878,0.39
104879,0.35
104880,0.3
104899,0.4
104906,0.37
104907,0.3
104913,0.32
104916,0.34
104921,0.33
104930,0.32
104931,0.29
104936,0.32
104937,0.31
104942,0.35
104943,0.34
104969,0.32
104972,0.49
104988,0.38
105013,0.3
105015,0.34
105019,0.42
105027,0.46
105030,0.33
105035,0.43
105041,0.41
105051,0.3
105056,0.38
105067,0.5
105071,0.3
105072,0.28
105074,0.32
105091,0.33
105101,0.3
105103,0.35
105134,0.42
105139,0.27
105142,0.39
105146,0.38
105163,0.31
105168,0.29
105172,0.39
105176,0.5
105195,0.41
105196,0.38
105197,0.31
105203,0.36
105223,0.39
105227,0.45
105228,0.3
105230,0.41
105231,0.39
105239,0.36
105242,0.42
105244,0.39
105245,0.37
105248,0.31
105249,0.35
105266,0.33
105271,0.42
105276,0.37
105282,0.23
105292,0.36
105297,0.33
105332,0.37
105333,0.25
105343,0.4
105344,0.42
105345,0.37
105357,0.25
105359,0.31
105366,0.35
105367,0.37
105370,0.3
105377,0.4
105390,0.35
105399,0.32
105403,0.32
105404,0.3
105414,0.38
105417,0.38
105425,0.4
105452,0.49
105454,0.33
105456,0.24
105470,0.28
105471,0.37
105483,0.34
105493,0.47
105508,0.37
105514,0.36
105515,0.34
105528,0.47
105529,0.4
105531,0.4
105532,0.36
105558,0.34
105574,0.32
105578,0.39
105584,0.41
105595,0.32
105617,0.39
105618,0.36
105621,0.34
105625,0.37
105629,0.34
105630,0.32
105634,0.35
105635,0.33
105641,0.35
105647,0.33
105648,0.33
105655,0.35
105657,0.39
105672,0.28
105678,0.37
105682,0.38
105691,0.33
105692,0.31
105706,0.35
105712,0.36
105720,0.39
105734,0.31
105735,0.41
105736,0.36
105737,0.35
105738,0.37
105740,0.3
105744,0.43
105747,0.33
105749,0.4
105754,0.34
105758,0.39
105760,0.32
105767,0.4
105784,0.37
105791,0.36
105802,0.46
105807,0.38
105809,0.36
105816,0.33
105817,0.26
105824,0.31
105832,0.23
105856,0.31
105865,0.44
105899,0.37
105906,0.33
105916,0.42
105923,0.41
105937,0.44
105965,0.36
105966,0.34
105968,0.41
105973,0.35
105976,0.35
105978,0.37
105979,0.31
105991,0.37
105998,0.4
105999,0.34
106000,0.5
106001,0.43
106010,0.36
106011,0.35
106013,0.39
106015,0.38
106026,0.34
106032,0.46
106035,0.37
106040,0.28
106041,0.33
106044,0.39
106053,0.34
106054,0.29
106065,0.51
106081,0.38
106083,0.44
106087,0.38
106090,0.38
106101,0.32
106102,0.3
106109,0.32
106116,0.32
106150,0.29
106155,0.34
106166,0.31
106176,0.28
106189,0.29
106199,0.34
106205,0.4
106206,0.39
106211,0.3
106214,0.29
106216,0.37
106217,0.35
106225,0.28
106249,0.28
106256,0.36
106258,0.4
106261,0.33
106262,0.37
106264,0.44
106271,0.37
106276,0.39
106277,0.41
106286,0.28
106293,0.32
106295,0.39
106296,0.33
106297,0.25
106298,0.39
106311,0.26
106314,0.33
106320,0.36
106334,0.38
106346,0.37
106347,0.36
106349,0.34
106354,0.37
106360,0.42
106373,0.45
106377,0.42
106386,0.3
106387,0.35
106391,0.36
106401,0.35
106411,0.34
106413,0.45
106426,0.41
106427,0.39
106428,0.4
106434,0.34
106438,0.36
106440,0.27
106441,0.19
106452,0.31
106453,0.37
106454,0.4
106457,0.33
106484,0.37
106488,0.32
106491,0.41
106514,0.36
106527,0.44
106528,0.42
106529,0.26
106534,0.33
106550,0.38
106577,0.35
106585,0.37
106590,0.28
106607,0.38
106610,0.3
106611,0.35
106612,0.34
106624,0.3
106631,0.27
106647,0.49
106660,0.42
106674,0.33
106687,0.36
106712,0.24
106713,0.35
106717,0.31
106720,0.37
106721,0.39
106724,0.3
106735,0.34
106739,0.33
106740,0.39
106754,0.32
106760,0.41
106761,0.39
106784,0.31
106787,0.41
106797,0.33
106798,0.43
106802,0.45
106803,0.35
106804,0.48
106805,0.31
106810,0.49
106812,0.36
106813,0.35
106817,0.38
106822,0.33
106823,0.27
106827,0.28
106841,0.4
106851,0.43
106852,0.31
106853,0.38
106854,0.4
106861,0.3
106873,0.38
106877,0.35
106878,0.32
106881,0.29
106900,0.4
106906,0.34
106907,0.36
106914,0.4
106916,0.32
106924,0.3
106931,0.28
106936,0.44
106937,0.37
106938,0.32
106939,0.34
106943,0.37
106944,0.4
106967,0.37
106980,0.45
106986,0.41
106987,0.35
106990,0.34
107013,0.3
107023,0.38
107033,0.38
107037,0.38
107048,0.39
107071,0.37
107081,0.25
107113,0.29
107130,0.47
107131,0.4
107145,0.44
107156,0.39
107219,0.29
107222,0.35
107223,0.5
107232,0.45
107245,0.32
107246,0.33
107247,0.33
107256,0.24
107259,0.23
107260,0.39
107279,0.4
107280,0.39
107281,0.31
107285,0.33
107329,0.28
107337,0.33
107349,0.34
107350,0.36
107351,0.29
107359,0.36
107391,0.42
107394,0.31
107395,0.29
107406,0.3
107416,0.29
107417,0.37
107418,0.4
107419,0.36
107444,0.35
107445,0.36
107446,0.3
107460,0.42
107470,0.35
107475,0.39
107520,0.36
107526,0.42
107527,0.3
107530,0.33
107532,0.36
107534,0.4
107535,0.41
107554,0.44
107556,0.29
107559,0.39
107561,0.28
107564,0.39
107566,0.35
107571,0.39
107590,0.52
107602,0.32
107625,0.31
107626,0.48
107635,0.3
107636,0.37
107645,0.33
107652,0.47
107655,0.29
107668,0.29
107670,0.25
107677,0.26
107680,0.36
107683,0.36
107684,0.32
107691,0.48
107692,0.35
107703,0.28
107709,0.35
107710,0.42
107721,0.41
107725,0.37
107727,0.34
107739,0.32
107740,0.27
107741,0.38
107747,0.33
107765,0.45
107768,0.38
107775,0.36
107782,0.48
107790,0.48
107801,0.4
107807,0.31
107811,0.24
107817,0.38
107826,0.38
107838,0.36
107839,0.32
107843,0.41
107847,0.37
107849,0.32
107850,0.32
107867,0.38
107871,0.32
107908,0.35
107913,0.4
107927,0.39
107931,0.39
107955,0.28
107962,0.38
107977,0.32
107978,0.32
107993,0.37
108010,0.42
108016,0.29
108018,0.46
108027,0.36
108045,0.42
108069,0.38
108082,0.33
108089,0.4
108092,0.32
108106,0.2
108112,0.37
108120,0.27
108122,0.35
108135,0.27
108170,0.38
108171,0.35
108177,0.3
108180,0.35
108183,0.33
108184,0.33
108185,0.42
108192,0.33
108195,0.39
108196,0.31
108218,0.34
108219,0.44
108243,0.35
108249,0.37
108251,0.29
108274,0.33
108280,0.5
108289,0.32
108292,0.46
108295,0.36
108327,0.37
108332,0.34
108346,0.4
108349,0.41
108353,0.43
108362,0.42
108363,0.38
108377,0.43
108378,0.42
108381,0.27
108383,0.35
108390,0.43
108407,0.33
108408,0.38
108411,0.36
108412,0.43
108419,0.3
108436,0.43
108437,0.35
108438,0.35
108441,0.34
108448,0.23
108449,0.33
108466,0.27
108467,0.42
108473,0.44
108474,0.41
108476,0.41
108479,0.34
108486,0.29
108493,0.27
108501,0.36
108506,0.43
108510,0.27
108511,0.35
108514,0.38
108517,0.28
108519,0.36
108522,0.23
108548,0.38
108554,0.39
108555,0.37
108559,0.33
108562,0.38
108571,0.31
108572,0.33
108579,0.41
108583,0.37
108584,0.36
108592,0.32
108602,0.33
108609,0.44
108613,0.39
108616,0.4
108618,0.37
108620,0.32
108643,0.38
108649,0.35
108654,0.41
108655,0.29
108656,0.28
108667,0.41
108668,0.47
108682,0.41
108690,0.38
108691,0.36
108692,0.39
108695,0.29
108699,0.35
108710,0.32
108718,0.47
108739,0.38
108740,0.36
108741,0.31
108742,0.38
108763,0.35
108767,0.38
108769,0.39
108779,0.41
108788,0.29
108801,0.35
108802,0.31
108810,0.34
108811,0.32
108813,0.32
108814,0.34
108825,0.35
108826,0.4
108830,0.32
108834,0.27
108852,0.27
108887,0.39
108901,0.46
108908,0.32
108910,0.34
108920,0.39
108922,0.25
108929,0.36
108930,0.37
108937,0.46
108938,0.3
108943,0.37
108948,0.31
108953,0.37
108956,0.31
108965,0.33
108985,0.34
108986,0.43
108987,0.33
108990,0.34
108991,0.4
108993,0.33
109000,0.37
109001,0.49
109012,0.41
109014,0.31
109015,0.34
109021,0.27
109037,0.31
109042,0.4
109044,0.39
109046,0.39
109064,0.21
109084,0.42
109086,0.31
109092,0.27
109093,0.37
109100,0.36
109101,0.29
109110,0.27
109114,0.37
109126,0.49
109152,0.36
109162,0.29
109167,0.31
109168,0.36
109169,0.37
109179,0.34
109184,0.49
109191,0.47
109192,0.38
109193,0.31
109196,0.41
109206,0.46
109210,0.35
109244,0.36
109249,0.39
109273,0.32
109276,0.33
109281,0.29
109287,0.3
109297,0.42
109298,0.27
109306,0.34
109309,0.37
109321,0.49
109328,0.37
109336,0.26
109342,0.46
109346,0.32
109347,0.39
109348,0.44
109362,0.3
109363,0.4
109367,0.35
109370,0.3
109393,0.42
109405,0.32
109413,0.39
109414,0.4
109421,0.38
109427,0.26
109428,0.28
109429,0.44
109437,0.39
109443,0.37
109461,0.36
109468,0.35
109469,0.35
109471,0.41
109479,0.41
109484,0.29
109501,0.31
109505,0.39
109535,0.31
109539,0.33
109544,0.41
109545,0.24
109551,0.33
109553,0.38
109555,0.34
109561,0.41
109580,0.37
109583,0.36
109593,0.31
109604,0.36
109620,0.42
109635,0.28
109637,0.45
109638,0.46
109642,0.46
109649,0.34
109652,0.38
109656,0.35
109663,0.34
109696,0.43
109700,0.52
109709,0.39
109735,0.34
109740,0.38
109741,0.36
109749,0.33
109764,0.3
109771,0.39
109772,0.34
109773,0.51
109798,0.32
109802,0.4
109804,0.31
109813,0.39
109818,0.35
109848,0.42
109850,0.34
109851,0.39
109855,0.36
109871,0.4
109877,0.35
109883,0.27
109886,0.33
109905,0.41
109936,0.36
109950,0.46
109958,0.42
109959,0.37
109969,0.29
109971,0.32
109984,0.27
109985,0.49
109988,0.22
109992,0.36
110005,0.39
110009,0.38
110011,0.51
110014,0.41
110026,0.41
110042,0.3
110058,0.3
110069,0.39
110080,0.36
110087,0.34
110091,0.39
110094,0.36
110098,0.38
110105,0.25
110117,0.44
110136,0.45
110138,0.51
110149,0.33
110164,0.34
110202,0.41
110212,0.32
110226,0.33
110236,0.35
110249,0.34
110257,0.38
110258,0.34
110277,0.32
110282,0.38
110284,0.31
110286,0.33
110289,0.29
110304,0.33
110319,0.29
110324,0.27
110326,0.37
110335,0.37
110337,0.34
110338,0.36
110343,0.35
110345,0.33
110347,0.34
110355,0.33
110359,0.33
110360,0.37
110364,0.37
110371,0.35
110372,0.39
110376,0.37
110379,0.36
110380,0.38
110393,0.34
110401,0.41
110406,0.33
110411,0.33
110416,0.34
110420,0.4
110443,0.36
110465,0.38
110468,0.34
110469,0.33
110471,0.43
110487,0.48
110491,0.36
110504,0.42
110547,0.24
110550,0.34
110559,0.36
110578,0.42
110582,0.4
110590,0.38
110598,0.38
110601,0.41
110602,0.38
110604,0.39
110625,0.43
110626,0.46
110636,0.4
110637,0.35
110638,0.4
110646,0.42
110648,0.37
110652,0.37
110681,0.36
110682,0.38
110687,0.3
110691,0.36
110694,0.25
110695,0.32
110696,0.35
110708,0.24
110710,0.35
110717,0.34
110730,0.41
110740,0.36
110742,0.37
110747,0.34
110761,0.29
110766,0.32
110769,0.4
110774,0.35
110803,0.29
110805,0.38
110809,0.51
110827,0.46
110832,0.26
110839,0.4
110859,0.36
110861,0.27
110863,0.44
110865,0.38
110881,0.32
110889,0.33
110891,0.42
110894,0.36
110895,0.28
110907,0.4
110914,0.34
110933,0.32
110934,0.37
110937,0.45
110953,0.37
110954,0.26
110958,0.45
110970,0.37
110974,0.35
110977,0.3
110989,0.36
110993,0.49
110994,0.4
111018,0.24
111019,0.28
111030,0.35
111032,0.32
111041,0.41
111045,0.29
111048,0.38
111052,0.38
111070,0.53
111084,0.39
111091,0.41
111104,0.36
111108,0.41
111112,0.36
111127,0.27
111142,0.35
111146,0.48
111165,0.36
111168,0.37
111169,0.44
111172,0.3
111173,0.34
111174,0.42
111175,0.46
111176,0.39
111177,0.25
111180,0.31
111182,0.26
111192,0.36
111194,0.45
111196,0.3
111197,0.31
111198,0.38
111205,0.33
111207,0.36
111222,0.36
111228,0.29
111233,0.32
111256,0.37
111258,0.28
111262,0.33
111263,0.42
111267,0.23
111269,0.45
111276,0.37
111277,0.39
111279,0.34
111290,0.28
111294,0.31
111295,0.36
111315,0.51
111318,0.38
111327,0.35
111328,0.28
111332,0.38
111338,0.37
111343,0.34
111344,0.33
111345,0.42
111347,0.31
111356,0.4
111359,0.41
111367,0.32
111368,0.34
111391,0.29
111408,0.29
111412,0.35
111419,0.39
111422,0.43
111423,0.41
111439,0.31
111452,0.49
111456,0.34
111467,0.33
111478,0.38
111482,0.41
111488,0.36
111503,0.32
111510,0.28
111512,0.33
111518,0.32
111532,0.42
111537,0.24
111541,0.26
111544,0.41
111550,0.39
111554,0.35
111560,0.48
111566,0.27
111567,0.37
111592,0.3
111618,0.35
111620,0.42
111627,0.34
111641,0.31
111646,0.48
111652,0.35
111657,0.22
111664,0.4
111665,0.32
111669,0.41
111673,0.35
111687,0.31
111688,0.34
111689,0.34
111694,0.33
111695,0.4
111698,0.38
111703,0.31
111709,0.29
111712,0.29
111715,0.34
111724,0.36
111730,0.32
111747,0.34
111760,0.44
111761,0.29
111763,0.36
111776,0.39
111777,0.4
111781,0.23
111793,0.44
111804,0.4
111810,0.37
111816,0.27
111818,0.36
111830,0.35
111832,0.31
111841,0.24
111842,0.37
111843,0.38
111846,0.47
111848,0.34
111856,0.32
111857,0.33
111877,0.34
111882,0.32
111883,0.39
111891,0.31
111893,0.34
111901,0.3
111912,0.29
111913,0.32
111955,0.3
111958,0.36
111960,0.37
111967,0.29
112000,0.34
112003,0.42
112015,0.45
112019,0.53
112020,0.36
112028,0.32
112029,0.41
112031,0.34
112039,0.38
112042,0.24
112049,0.35
112052,0.37
112054,0.26
112055,0.35
112063,0.39
112070,0.35
112071,0.33
112080,0.35
112083,0.33
112085,0.38
112089,0.4
112098,0.42
112100,0.35
112105,0.31
112124,0.17
112126,0.42
112127,0.35
112128,0.4
112148,0.36
112149,0.32
112165,0.3
112170,0.27
112171,0.28
112176,0.41
112186,0.31
112199,0.37
112203,0.4
112214,0.36
112215,0.4
112216,0.4
112224,0.32
112225,0.36
112231,0.47
112234,0.42
112235,0.31
112236,0.46
112254,0.32
112265,0.42
112271,0.31
112284,0.27
112287,0.35
112295,0.37
112303,0.45
112307,0.45
112310,0.34
112312,0.33
112313,0.28
112326,0.34
112333,0.36
112334,0.24
112339,0.27
112347,0.41
112350,0.38
112356,0.41
112357,0.29
112359,0.36
112360,0.47
112371,0.32
112385,0.24
112392,0.33
112401,0.41
112405,0.35
112414,0.43
112429,0.35
112448,0.36
112467,0.28
112468,0.36
112469,0.36
112491,0.43
112500,0.4
112510,0.44
112535,0.39
112537,0.36
112551,0.42
112552,0.36
112556,0.37
112577,0.26
112590,0.37
112593,0.41
112596,0.4
112601,0.33
112604,0.37
112622,0.38
112655,0.34
112663,0.34
112667,0.31
112670,0.31
112676,0.39
112677,0.35
112679,0.27
112683,0.32
112688,0.35
112692,0.33
112696,0.35
112702,0.31
112709,0.38
112720,0.39
112735,0.39
112738,0.5
112742,0.34
112748,0.36
112749,0.33
112766,0.32
112767,0.34
112769,0.3
112771,0.31
112775,0.33
112794,0.28
112795,0.31
112796,0.23
112815,0.35
112817,0.39
112821,0.37
112822,0.38
112829,0.33
112831,0.42
112835,0.34
112838,0.44
112842,0.42
112844,0.41
112845,0.33
112846,0.35
112847,0.34
112867,0.35
112868,0.3
112874,0.33
112879,0.32
112882,0.33
112886,0.26
112895,0.45
112896,0.37
112902,0.21
112904,0.37
112917,0.44
112932,0.31
112944,0.3
112946,0.36
112947,0.29
112948,0.38
112966,0.31
112967,0.35
112971,0.38
112973,0.51
112974,0.35
112978,0.35
112988,0.42
112992,0.43
113003,0.38
113004,0.33
113007,0.52
113020,0.29
113025,0.4
113032,0.29
113042,0.31
113047,0.4
113066,0.33
113067,0.41
113071,0.3
113087,0.38
113108,0.32
113109,0.36
113123,0.37
113128,0.66
113134,0.43
113151,0.38
113175,0.37
113181,0.38
113188,0.48
113191,0.26
113193,0.5
113201,0.33
113209,0.33
113222,0.42
113248,0.32
113272,0.36
113276,0.36
113287,0.35
113302,0.28
113308,0.43
113316,0.39
113318,0.41
113320,0.41
113322,0.39
113325,0.37
113326,0.41
113332,0.33
113346,0.37
113352,0.26
113361,0.28
113362,0.34
113365,0.42
113366,0.29
113368,0.34
113382,0.25
113385,0.32
113390,0.31
113391,0.36
113393,0.42
113396,0.41
113397,0.34
113402,0.32
113403,0.37
113405,0.33
113406,0.37
113410,0.55
113413,0.34
113418,0.42
113419,0.32
113435,0.38
113438,0.41
113447,0.37
113458,0.4
113466,0.25
113475,0.35
113482,0.39
113490,0.31
113505,0.33
113508,0.32
113520,0.24
113532,0.29
113535,0.37
113549,0.35
113557,0.37
113558,0.38
113561,0.3
113566,0.34
113569,0.23
113574,0.41
113576,0.35
113577,0.31
113585,0.33
113587,0.36
113599,0.45
113601,0.33
113602,0.37
113605,0.35
113609,0.42
113611,0.34
113616,0.3
113627,0.47
113631,0.33
113643,0.31
113652,0.33
113657,0.44
113659,0.35
113672,0.34
113680,0.43
113692,0.37
113694,0.31
113695,0.39
113701,0.33
113733,0.27
113738,0.37
113740,0.41
113742,0.38
113777,0.24
113783,0.23
113788,0.33
113789,0.29
113791,0.45
113795,0.35
113799,0.3
113805,0.32
113820,0.31
113822,0.34
113824,0.41
113829,0.42
113832,0.38
113833,0.3
113841,0.27
113849,0.35
113862,0.36
113863,0.41
113864,0.34
113870,0.35
113875,0.37
113882,0.34
113887,0.41
113894,0.38
113909,0.33
113930,0.44
113936,0.36
113939,0.36
113942,0.41
113943,0.41
113945,0.49
113947,0.3
113950,0.32
113951,0.42
113957,0.32
113966,0.37
113967,0.39
113977,0.33
113984,0.32
113986,0.33
113992,0.3
113998,0.26
113999,0.45
114003,0.32
